IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
03301755000C,CRAWFORD,-87.780272,39.136837,567,Oil and Gas Test,Electric Log,11,,-225,,,,,,,,,
03301762000C,CRAWFORD,-87.725769,38.904658,543,Oil and Gas Test,Electric Log,79,,-190,,-211,4,,,,,,
03301772000C,CRAWFORD,-87.772456,39.053143,561,Oil and Gas Test,Electric Log,-5,,-239,,-265,6,,,,,,
03301777000C,CRAWFORD,-87.799665,39.055829,531,Oil and Gas Test,Electric Log,1,,-229,,-259,6,,,,,,
03301810000C,CRAWFORD,-87.762686,39.032742,559,Oil and Gas Test,Electric Log,11,,-237,,-259,4.5,,,,,,
03301812000C,CRAWFORD,-87.757813,39.061901,572,Oil and Gas Test,Electric Log,-36,,-281,,-292,6,,,,,,
03301814000C,CRAWFORD,-87.774943,39.111417,573,Oil and Gas Test,Electric Log,3,,-235,,-262,4,,,,,,
03301823000C,CRAWFORD,-87.825026,39.152701,567,Oil and Gas Test,Electric Log,-3,,-226,,-251,5,,,,,,
03301824000C,CRAWFORD,-87.859539,39.088953,534,Oil and Gas Test,Electric Log,26,,-206,,-223,7,,,,,,
03301850000C,CRAWFORD,-87.803302,38.893171,460,Oil and Gas Test,Electric Log,45,,-206,,-226,5,,,,,,
03301878000C,CRAWFORD,-87.726139,38.965664,542,Oil and Gas Test,Electric Log,36,,-247,,-261,6,,,,,,
03301887000C,CRAWFORD,-87.841474,39.148714,561,Oil and Gas Test,Electric Log,11,,-213,,-242,6,,,,,,
03301902000C,CRAWFORD,-87.749213,38.947041,490,Oil and Gas Test,Electric Log,52,,-214,,-225,5,,,,,,
03301924000C,CRAWFORD,-87.893107,39.087118,518,Oil and Gas Test,Electric Log,23,,-187,,-224,3.5,,,,,,
03301945000C,CRAWFORD,-87.776351,39.074671,594,Oil and Gas Test,Electric Log,-1,,-230,,-243,6,,,,,,
03301958000C,CRAWFORD,-87.90497,39.094272,508,Oil and Gas Test,Electric Log,6,,-201,,-228,3.5,,,,,,
03301959000C,CRAWFORD,-87.857077,39.094278,540,Oil and Gas Test,Electric Log,50,,-176,,-203,5,,,,,,
03301962000C,CRAWFORD,-87.768597,38.887168,549,Oil and Gas Test,Electric Log,57,,-187,,-215,3,,,,,,
03301975000C,CRAWFORD,-87.770554,39.124254,580,Oil and Gas Test,Electric Log,23,,-208,,,,,,,,,
03301989000C,CRAWFORD,-87.776504,38.951919,502,Oil and Gas Test,Electric Log,2,,-248,,-261,5,,,,,,
03302015000C,CRAWFORD,-87.832088,39.154404,554,Oil and Gas Test,Electric Log,2,,-227,,-260,6,,,,,,
03302144000C,CRAWFORD,-87.836886,38.994808,497,Oil and Gas Test,Electric Log,40,,-183,,-210,,,,,,,
03302146000C,CRAWFORD,-87.824447,39.094308,549,Oil and Gas Test,Electric Log,25,,-230,,-253,4,,,,,,
03302236000C,CRAWFORD,-87.775125,39.141894,575,Oil and Gas Test,Electric Log,22,,-217,,-229,,,,,,,
03302238000C,CRAWFORD,-87.845456,39.058468,531,Oil and Gas Test,Electric Log,29,,-196,,-214,5.5,,,,,,
03302260000C,CRAWFORD,-87.586289,38.880104,453,Oil and Gas Test,Electric Log,67,3,-205,,-230,4.5,,,,,,
03302265000C,CRAWFORD,-87.591072,38.8801,494,Oil and Gas Test,Electric Log,61,3,-201,,-229,4,,,,,,
03302269000C,CRAWFORD,-87.79847,39.057681,537,Oil and Gas Test,Electric Log,7,,-223,,-254,6,,,,,,
03302350000C,CRAWFORD,-87.765535,38.939491,471,Oil and Gas Test,Electric Log,34,,-209,,-219,6,,,,,,
03302380000C,CRAWFORD,-87.804117,39.147554,569,Oil and Gas Test,Electric Log,-9,,-230,,-254,6.5,,,,,,
03302383000C,CRAWFORD,-87.838306,39.105139,562,Oil and Gas Test,Electric Log,36,,-199,,-216,4,,,,,,
03302391000C,CRAWFORD,-87.836114,39.11243,564,Oil and Gas Test,Electric Log,28,,-200,,-234,4,,,,,,
03302406000C,CRAWFORD,-87.753706,38.894798,541,Oil and Gas Test,Electric Log,26,,-225,,-236,5,,,,,,
03302408000C,CRAWFORD,-87.833775,39.11246,565,Oil and Gas Test,Electric Log,55,,-182,,-192,6,,,,,,
03302410000C,CRAWFORD,-87.786948,38.931939,482,Oil and Gas Test,Electric Log,27,,-218,,-237,5,,,,,,
03302442000C,CRAWFORD,-87.903215,39.011513,496,Oil and Gas Test,Electric Log,-43,,-273,,-310,4.5,,,,,,
03302471000C,CRAWFORD,-87.5992,39.046964,442,Oil and Gas Test,Electric Log,7,,,,-261,,,,,,,
03302485000C,CRAWFORD,-87.800685,38.865704,444,Oil and Gas Test,Electric Log,-61,,-306,,-319,,,,,,,
03302487000C,CRAWFORD,-87.744455,38.87826,523,Oil and Gas Test,Electric Log,40,,-212,,-239,4,,,,,,
03302488000C,CRAWFORD,-87.566608,38.886577,497,Oil and Gas Test,Electric Log,147,3.5,-121,,-153,4.5,,,,,,
03302489000C,CRAWFORD,-87.567601,38.880615,472,Oil and Gas Test,Electric Log,141,3,,,,,,,,,,
03302493000C,CRAWFORD,-87.862159,38.935543,465,Oil and Gas Test,Electric Log,13,,-230,,-254,6.5,,,,,,
03302496000C,CRAWFORD,-87.673838,38.995808,496,Oil and Gas Test,Electric Log,20,,-240,,-263,6,,,,,,
03302498000C,CRAWFORD,-87.576517,38.924858,476,Oil and Gas Test,Electric Log,68,3.5,-183,,-211,6,,,,,,
03302500000C,CRAWFORD,-87.735374,38.98411,532,Oil and Gas Test,Electric Log,15,4.5,-252,,-278,5,,,,,,
03302501000C,CRAWFORD,-87.73069,38.982283,518,Oil and Gas Test,Electric Log,29,,-237,,-256,5.5,,,,,,
03302502000C,CRAWFORD,-87.705087,38.982319,536,Oil and Gas Test,Electric Log,26,,-237,,-257,6,,,,,,
03302506000C,CRAWFORD,-87.836452,39.002265,503,Oil and Gas Test,Electric Log,29,,,,-224,,,,,,,
03302511000C,CRAWFORD,-87.701888,39.058241,509,Oil and Gas Test,Electric Log,-7,,,,,,,,,,,
03302515000C,CRAWFORD,-87.628434,39.098992,429,Oil and Gas Test,Electric Log,31,,-203,,-230,5.5,,,,,,
03302533000C,CRAWFORD,-87.945394,39.047436,501,Oil and Gas Test,Electric Log,,,-398,,-419,2,,,,,,
03302554000C,CRAWFORD,-87.89265,39.021548,505,Oil and Gas Test,Electric Log,47,,-170,,-203,,,,,,,
03302580000C,CRAWFORD,-87.704818,38.930753,618,Oil and Gas Test,Electric Log,71,,-210,,-228,,,,,,,
03302705000C,CRAWFORD,-87.75342,39.034547,552,Oil and Gas Test,Electric Log,4,,-246,,-259,5,,,,,,
03302707000C,CRAWFORD,-87.593107,38.93246,543,Oil and Gas Test,Nuclear Log,57,3.5,-228,,-257,7,,,,,,
03302722000C,CRAWFORD,-87.602863,38.947596,558,Oil and Gas Test,Electric Log,78,,-204,,-246,,,,,,,
03302725000C,CRAWFORD,-87.543308,38.957887,431,Oil and Gas Test,Electric Log,111,3,-143,,,,,,,,,
03302726000C,CRAWFORD,-87.575585,38.93327,479,Oil and Gas Test,Nuclear Log,86,3.5,-187,,,,,,,,,
03302772000C,CRAWFORD,-87.89646,38.998937,495,Oil and Gas Test,Electric Log,5,,-206,,-234,3,,,,,,
03302781000C,CRAWFORD,-87.829693,39.148911,561,Oil and Gas Test,Electric Log,-4,,-225,,-251,5,,,,,,
03302832000C,CRAWFORD,-87.556904,38.937822,527,Oil and Gas Test,Electric Log,83,,-163,,-195,6,,,,,,
03302862000C,CRAWFORD,-87.578902,38.960803,490,Oil and Gas Test,Electric Log,85,3,,,,,,,,,,
03302874000C,CRAWFORD,-87.585987,38.947663,524,Oil and Gas Test,Electric Log,78,3,-196,,-239,6,,,,,,
03302879000C,CRAWFORD,-87.744305,39.108257,543,Oil and Gas Test,Electric Log,-25,,-290,,,,,,,,,
03302919000C,CRAWFORD,-87.775748,38.983746,534,Oil and Gas Test,Electric Log,8,,-231,,-242,4.5,,,,,,
03302920000C,CRAWFORD,-87.778158,38.983735,532,Oil and Gas Test,Electric Log,15,,-224,,-238,4,,,,,,
03302921000C,CRAWFORD,-87.770795,38.976356,505,Oil and Gas Test,Electric Log,-1,,-255,,-266,5,,,,,,
03302948000C,CRAWFORD,-87.74885,39.032651,551,Oil and Gas Test,Electric Log,-25,,-279,,,,,,,,,
03302953000C,CRAWFORD,-87.771482,39.017571,541,Oil and Gas Test,Electric Log,43,2,-209,,-246,,,,,,,
03302954000C,CRAWFORD,-87.75096,39.045571,585,Oil and Gas Test,Electric Log,-35,,-283,,-302,5,,,,,,
03303037000C,CRAWFORD,-87.702692,38.980479,544,Oil and Gas Test,Electric Log,30,,-226,,-263,5.5,,,,,,
03303041000C,CRAWFORD,-87.574246,38.958912,462,Oil and Gas Test,Electric Log,93,,,,,,,,,,,
03303042000C,CRAWFORD,-87.685713,38.925412,551,Oil and Gas Test,Electric Log,37,,-242,,-258,4.5,,,,,,
03303136000C,CRAWFORD,-87.647736,38.903112,492,Oil and Gas Test,Electric Log,38,3,-228,,,,,,,,,
03303151000C,CRAWFORD,-87.627502,38.883156,573,Oil and Gas Test,Electric Log,56,3.5,-217,,-239,5,,,,,,
03303180000C,CRAWFORD,-87.62067,38.872185,530,Oil and Gas Test,Electric Log,64,3,-212,,-223,4.5,,,,,,
03303186000C,CRAWFORD,-87.615916,38.875621,566,Oil and Gas Test,Electric Log,63,3,-205,,-224,3.5,,,,,,
03303322000C,CRAWFORD,-87.653784,38.868685,526,Oil and Gas Test,Electric Log,23,,-236,,-265,,,,,,,
03303323000C,CRAWFORD,-87.666874,38.85294,450,Oil and Gas Test,Electric Log,29,,-233,,-251,4,,,,,,
03303397000C,CRAWFORD,-87.643177,38.862894,558,Oil and Gas Test,Electric Log,23,3,-233,,-242,6,,,,,,
03303457000C,CRAWFORD,-87.692904,38.908581,519,Oil and Gas Test,Electric Log,77,,-194,,-208,5,,,,,,
03303462000C,CRAWFORD,-87.716399,38.908375,581,Oil and Gas Test,Electric Log,81,,-184,,-213,4,,,,,,
03303489000C,CRAWFORD,-87.786722,38.898854,505,Oil and Gas Test,Electric Log,61,,-187,,-207,4,,,,,,
03303507000C,CRAWFORD,-87.763243,38.883496,510,Oil and Gas Test,Electric Log,28,,-224,,-235,7,,,,,,
03303523000C,CRAWFORD,-87.688133,38.88186,514,Oil and Gas Test,Electric Log,53,,-241,,-264,6,,,,,,
03303559000C,CRAWFORD,-87.640411,38.868021,543,Oil and Gas Test,Electric Log,43,2.5,-211,,-226,5,,,,,,
03303566000C,CRAWFORD,-87.644222,38.879771,570,Coal Test,Survey Core Study,67,3.1,,,,,,,,,,
03303589000C,CRAWFORD,-87.767878,38.87598,502,Oil and Gas Test,Electric Log,10,,-248,,-258,7,,,,,,
03303619000C,CRAWFORD,-87.784281,38.865767,473,Oil and Gas Test,Electric Log,-30,,-276,,-297,5,,,,,,
03303696000C,CRAWFORD,-87.836604,38.908035,489,Oil and Gas Test,Electric Log,-3,,-250,,-276,5,,,,,,
03303715000C,CRAWFORD,-87.796035,38.878588,490,Oil and Gas Test,Electric Log,-28,,-265,,-284,4,,,,,,
03303738000C,CRAWFORD,-87.800745,38.856405,435,Oil and Gas Test,Electric Log,-58,,-305,,-320,3.5,,,,,,
03303745000C,CRAWFORD,-87.553711,38.963499,468,Oil and Gas Test,Electric Log,146,,-164,,-186,,,,,,,
03303836000C,CRAWFORD,-87.737933,38.952617,539,Oil and Gas Test,Electric Log,45,,-223,,-236,5,,,,,,
03303855000C,CRAWFORD,-87.748154,38.930646,550,Oil and Gas Test,Electric Log,47,,-192,,-216,3.5,,,,,,
03303874000C,CRAWFORD,-87.777359,38.926465,463,Oil and Gas Test,Electric Log,23,,-223,,-237,6,,,,,,
03303933000C,CRAWFORD,-87.744533,38.925121,573,Oil and Gas Test,Electric Log,49,2,-200,,-218,6,,,,,,
03303980000C,CRAWFORD,-87.887387,38.984344,458,Oil and Gas Test,Electric Log,23,,-193,,-217,6,,,,,,
03304012000C,CRAWFORD,-87.863708,38.977834,479,Oil and Gas Test,Electric Log,34,,-199,,-225,6,,,,,,
03304054000C,CRAWFORD,-87.808516,38.957867,537,Oil and Gas Test,Electric Log,3,,-244,,-267,4.5,,,,,,
03304378000C,CRAWFORD,-87.778104,38.981859,530,Coal Test,Drillers Log,16.7,3.5,-229,1,-242.8,5.67,,,,,,
03304380000C,CRAWFORD,-87.702525,38.947304,585,Coal Test,Drillers Log,43,3.75,-180.8,0.42,,,,,,,,
03304381000C,CRAWFORD,-87.787171,38.952272,515,Coal Test,Drillers Log,9.5,4.42,-260.2,1.67,-287.6,7.5,,,,,,
03304382000C,CRAWFORD,-87.66074,38.978444,475,Coal Test,Drillers Log,25.1,3.6,,,,,,,,,,
03304396000C,CRAWFORD,-87.657722,39.034683,455,Coal Test,Drillers Log,6.7,3.67,-275.5,0.5,-306.6,7,,,,,,
03305059000C,CRAWFORD,-87.813066,38.946794,522,Oil and Gas Test,Electric Log,7,,-234,,-266,5.5,,,,,,
03305208000C,CRAWFORD,-87.841079,38.928399,480,Oil and Gas Test,Electric Log,55,,-194,,-214,5,,,,,,
03305209000C,CRAWFORD,-87.848174,38.928241,475,Oil and Gas Test,Electric Log,19,,-225,,-243,5,,,,,,
03305258000C,CRAWFORD,-87.83627,38.924697,490,Oil and Gas Test,Electric Log,40,,-204,,-215,6,,,,,,
03305349000C,CRAWFORD,-87.851746,38.92558,473,Oil and Gas Test,Electric Log,8,,-231,,-258,6,,,,,,
03305545000C,CRAWFORD,-87.785622,39.080509,547,Oil and Gas Test,Electric Log,-4,2.5,-251,,-260,7,,,,,,
03305575000C,CRAWFORD,-87.728644,39.066462,530,Oil and Gas Test,Electric Log,-30,,-285,,-308,4.5,,,,,,
03305590000C,CRAWFORD,-87.719188,39.071799,550,Oil and Gas Test,Electric Log,-30,,-280,,-308,6,,,,,,
03305895000C,CRAWFORD,-87.864494,39.063102,539,Oil and Gas Test,Electric Log,7,,-217,,-243,6,,,,,,
03306089000C,CRAWFORD,-87.888315,39.053433,511,Oil and Gas Test,Electric Log,,,-161,,-184,,,,,,,
03306217000C,CRAWFORD,-87.837647,39.027985,501,Oil and Gas Test,Electric Log,-4,,-224,,-266,6,,,,,,
03306341000C,CRAWFORD,-87.879636,39.00183,485,Oil and Gas Test,Electric Log,63,,-162,,-181,6.5,,,,,,
03306461000C,CRAWFORD,-87.683403,38.873669,447,Oil and Gas Test,Electric Log,38,,-228,,-240,5,,,,,,
03306489000C,CRAWFORD,-87.91064,39.039115,500,Oil and Gas Test,Electric Log,,,-224,,,,,,,,,
03306513000C,CRAWFORD,-87.760141,39.158939,521,Oil and Gas Test,Electric Log,30,,-209,,-253,5,,,,,,
03306531000C,CRAWFORD,-87.75585,39.104559,559,Oil and Gas Test,Electric Log,-17,,-263,,-281,4,,,,,,
03306617000C,CRAWFORD,-87.890462,39.121652,535,Oil and Gas Test,Electric Log,75,,-128,,-151,7,,,,,,
03306619000C,CRAWFORD,-87.638329,39.02645,448,Oil and Gas Test,Electric Log,10,,,,,,,,,,,
03306624000C,CRAWFORD,-87.815077,39.121656,561,Oil and Gas Test,Electric Log,23,,-209,,-229,5,,,,,,
03307019000C,CRAWFORD,-87.923518,39.143446,548,Oil and Gas Test,Electric Log,220,,33,,11,5.5,,,,,,
03307041000C,CRAWFORD,-87.929394,39.130634,541,Oil and Gas Test,Electric Log,146,,-41,,-65,5,,,,,,
03307232000C,CRAWFORD,-87.924182,39.067616,491,Oil and Gas Test,Electric Log,-2,,-226,,-248,3,,,,,,
03307233000C,CRAWFORD,-87.937981,39.066015,503,Oil and Gas Test,Electric Log,-18,,-240,,-270,2.5,,,,,,
03307263000C,CRAWFORD,-87.79,39.091828,545,Oil and Gas Test,Electric Log,23,,-228,,-247,,,,,,,
03307297000C,CRAWFORD,-87.817775,38.902391,448,Oil and Gas Test,Nuclear Log,63,,-197,,-209,,,,,,,
03307323000C,CRAWFORD,-87.924066,39.060112,489,Oil and Gas Test,Electric Log,-16,,-231,,-253,2,,,,,,
03307420000C,CRAWFORD,-87.925159,39.055527,489,Oil and Gas Test,Electric Log,,,-239,,-261,2,,,,,,
03307470000C,CRAWFORD,-87.730731,38.941648,547,Oil and Gas Test,Electric Log,44,,-229,,,,,,,,,
03307474000C,CRAWFORD,-87.864969,38.985246,480,Oil and Gas Test,Nuclear Log,52,2.5,-189,,-200,5,,,,,,
03307523000C,CRAWFORD,-87.721351,38.949253,560,Oil and Gas Test,Electric Log,33,,-233,,-250,5.5,,,,,,
03307632000C,CRAWFORD,-87.721438,38.96383,554,Oil and Gas Test,Electric Log,36,,-238,,-265,,,,,,,
03307639000C,CRAWFORD,-87.840003,39.01791,486,Oil and Gas Test,Electric Log,-13,,-249,,-275,2.5,,,,,,
03307655000C,CRAWFORD,-87.690549,38.94925,541,Oil and Gas Test,Electric Log,41,,-233,,-255,,,,,,,
03307669000C,CRAWFORD,-87.730716,38.93797,517,Oil and Gas Test,Electric Log,40,,-228,,-245,3,,,,,,
03307911000C,CRAWFORD,-87.891603,39.038348,509,Oil and Gas Test,Electric Log,63,,-151,,-198,3,,,,,,
03307978000C,CRAWFORD,-87.932512,39.071334,509,Oil and Gas Test,Electric Log,9,,-204,,-231,3,,,,,,
03308019000C,CRAWFORD,-87.806338,39.143795,580,Oil and Gas Test,Electric Log,-6,,-232,,-254,6,,,,,,
03308026000C,CRAWFORD,-87.890023,38.961897,477,Oil and Gas Test,Electric Log,-60,,-290,,-317,5,,,,,,
03308076000C,CRAWFORD,-87.802012,39.102716,547,Oil and Gas Test,Electric Log,28,,-213,,-248,,,,,,,
03308177000C,CRAWFORD,-87.626275,38.977576,465,Oil and Gas Test,Electric Log,59,,,,,,,,,,,
03308197000C,CRAWFORD,-87.86569,39.005854,491,Oil and Gas Test,Electric Log,65,,,,-196,,,,,,,
03308271000C,CRAWFORD,-87.896659,39.058237,510,Oil and Gas Test,Electric Log,,,-193,,-220,3.5,,,,,,
03308282000C,CRAWFORD,-87.543714,38.900197,448,Oil and Gas Test,Electric Log,136,3.5,-134,,,,,,,,,
03308301000C,CRAWFORD,-87.809788,39.068534,540,Oil and Gas Test,Electric Log,2,,-216,,-255,3.5,,,,,,
03308302000C,CRAWFORD,-87.767476,39.030712,556,Oil and Gas Test,Electric Log,16,,-232,,-257,5,,,,,,
03308356000C,CRAWFORD,-87.8192,38.930388,498,Oil and Gas Test,Nuclear Log,75,,-179,,-166,5,,,,,,
03308396000C,CRAWFORD,-87.865074,39.030753,508,Oil and Gas Test,Electric Log,29,,-189,,-233,3,,,,,,
03308414000C,CRAWFORD,-87.82053,38.991152,509,Oil and Gas Test,Electric Log,55,,-195,,-226,,,,,,,
03308476000C,CRAWFORD,-87.585203,39.020108,447,Oil and Gas Test,Electric Log,60,,-164,,-204,,,,,,,
03308499000C,CRAWFORD,-87.881389,38.977778,459,Oil and Gas Test,Electric Log,7,,-218,,-240,,,,,,,
03308519000C,CRAWFORD,-87.876527,39.173165,569,Oil and Gas Test,Electric Log,23,3,-182,,-218,2,,,,,,
03308524000C,CRAWFORD,-87.826932,39.057684,522,Oil and Gas Test,Electric Log,47,,-176,,-211,5,,,,,,
03308548000C,CRAWFORD,-87.772879,38.954126,530,Oil and Gas Test,Electric Log,10,,-246,,-260,,,,,,,
03308562000C,CRAWFORD,-87.884698,38.958441,461,Oil and Gas Test,Nuclear Log,-56,3,-288,,-310,5.5,,,,,,
03308693000C,CRAWFORD,-87.781152,39.012012,537,Oil and Gas Test,Electric Log,50,,,,,,,,,,,
03308732000C,CRAWFORD,-87.903176,39.071383,485,Oil and Gas Test,Electric Log,4,,-223,,-250,4.5,,,,,,
03308742000C,CRAWFORD,-87.925432,39.159905,560,Oil and Gas Test,Electric Log,290,,110,,85,4.5,,,,,,
03308865000C,CRAWFORD,-87.644091,38.943217,522,Oil and Gas Test,Electric Log,53,,,,,,,,,,,
03308871000C,CRAWFORD,-87.640545,38.949674,526,Oil and Gas Test,Electric Log,20,,-236,,-261,,,,,,,
03308898000C,CRAWFORD,-87.905227,39.064133,487,Oil and Gas Test,Electric Log,15,,-208,,-230,2,,,,,,
03308932000C,CRAWFORD,-87.772937,38.932132,471,Oil and Gas Test,Electric Log,31,,-216,,-229,4.5,,,,,,
03309039000C,CRAWFORD,-87.909296,39.07235,514,Oil and Gas Test,Electric Log,,,-227,,-237,3,,,,,,
03309051000C,CRAWFORD,-87.683134,38.916361,539,Oil and Gas Test,Electric Log,87,,-185,,,,,,,,,
03309060000C,CRAWFORD,-87.881104,38.898826,436,Oil and Gas Test,Electric Log,-339,,-615,,,,,,,,,
03309118000C,CRAWFORD,-87.571139,38.85857,,Coal Test,Drillers Log,,3.5,,,,,,,,,,
03309120000C,CRAWFORD,-87.557009,38.860499,,Coal Test,Drillers Log,,3.33,,,,,,,,,,
03309132000C,CRAWFORD,-87.878513,39.010421,495,Oil and Gas Test,Electric Log,67,,-157,,-185,,,,,,,
03309355000C,CRAWFORD,-87.830302,39.127607,558,Oil and Gas Test,Drillers Log,11,3.8,,,,,,,,,,
03324628000C,CRAWFORD,-87.836568,39.137763,562,Oil and Gas Test,Electric Log,-1,,-240,,-254,6,,,,,,
03324744000C,CRAWFORD,-87.814296,38.903363,440,Oil and Gas Test,Nuclear Log,79,3,-180,,-189,6,,,,,,
03324749000C,CRAWFORD,-87.793859,39.039307,546,Oil and Gas Test,Nuclear Log,51,2,-170,,-224,4,,,,,,
03324765000C,CRAWFORD,-87.795105,39.039295,546,Oil and Gas Test,Nuclear Log,52,2.5,-171,,-221,4.5,,,,,,
03324782000C,CRAWFORD,-87.786208,39.039165,556,Oil and Gas Test,Nuclear Log,27,4,-216,,-232,7,,,,,,
03324930000C,CRAWFORD,-87.834264,38.904274,476,Oil and Gas Test,Nuclear Log,-21,2.5,-273,,-292,6,,,,,,
03324976000C,CRAWFORD,-87.927669,39.072947,509,Oil and Gas Test,Electric Log,1,,-209,,-237,7,,,,,,
03329752000C,CRAWFORD,-87.739249,39.058301,551,Oil and Gas Test,Electric Log,-33,,-279,,-305,5.5,,,,,,
03329798000C,CRAWFORD,-87.850557,38.943104,452,Oil and Gas Test,Nuclear Log,32,3,-191,,-221,6.5,,,,,,
03329800000C,CRAWFORD,-87.864531,38.941974,466,Oil and Gas Test,Nuclear Log,24,2.5,-210,,-298,6,,,,,,
03329814000C,CRAWFORD,-87.827203,38.902387,469,Oil and Gas Test,Nuclear Log,0,,-245,,-266,5,,,,,,
03329821000C,CRAWFORD,-87.79604,39.109259,551,Oil and Gas Test,Electric Log,21,,-211,,-251,,,,,,,
03329824000C,CRAWFORD,-87.657116,38.984903,470,Oil and Gas Test,Electric Log,50,,-214,,,,,,,,,
03329836000C,CRAWFORD,-87.750903,39.074576,572,Oil and Gas Test,Electric Log,-28,,-275,,,,,,,,,
03329852000C,CRAWFORD,-87.843683,38.94846,485,Oil and Gas Test,Nuclear Log,33,2.5,-207,,-223,6.5,,,,,,
03329872000C,CRAWFORD,-87.937556,38.983319,480,Oil and Gas Test,Electric Log,-274,,-535,,-554,,,,,,,
03329895000C,CRAWFORD,-87.849226,38.958978,478,Oil and Gas Test,Nuclear Log,34,2.5,-198,,-216,6,,,,,,
03329896000C,CRAWFORD,-87.850144,38.955107,483,Oil and Gas Test,Nuclear Log,54,2,-170,,-193,6,,,,,,
03329909000C,CRAWFORD,-87.668428,39.074848,482,Oil and Gas Test,Electric Log,-4,,-257,,-290,,,,,,,
03329921000C,CRAWFORD,-87.928118,39.147081,558,Oil and Gas Test,Electric Log,,,58,,31,,,,,,,
03329954000C,CRAWFORD,-87.718031,39.074537,576,Oil and Gas Test,Electric Log,-27,,-274,,,,,,,,,
03329958000C,CRAWFORD,-87.566889,38.852501,,Coal Test,Drillers Log,,3.17,,,,,,,,,,
03329979000C,CRAWFORD,-87.883487,39.02509,508,Oil and Gas Test,Nuclear Log,76,2.5,-149,,-184,6,,,,,,
03329989000C,CRAWFORD,-87.884082,39.032658,512,Oil and Gas Test,Nuclear Log,83,2,-138,,-166,6,,,,,,
03330009000C,CRAWFORD,-87.810705,38.90801,444,Oil and Gas Test,Nuclear Log,85,2,-166,,-191,5,,,,,,
03330019000C,CRAWFORD,-87.765099,39.094845,592,Oil and Gas Test,Electric Log,-8,,-259,,-277,,,,,,,
03330144000C,CRAWFORD,-87.630629,38.999093,450,Oil and Gas Test,Electric Log,39,,,,,,,,,,,
03330155000C,CRAWFORD,-87.756228,38.885478,525,Oil and Gas Test,Nuclear Log,42,2,-215,,-225,6,,,,,,
03330156000C,CRAWFORD,-87.878623,39.028952,514,Oil and Gas Test,Nuclear Log,84,2.5,-131,,-163,7,,,,,,
03330162000C,CRAWFORD,-87.812485,38.913528,455,Oil and Gas Test,Nuclear Log,85,2.5,-167,,-187,6,,,,,,
03330185000C,CRAWFORD,-87.846628,38.954681,475,Oil and Gas Test,Nuclear Log,34,2,-199,,-212,7,,,,,,
03330194000C,CRAWFORD,-87.838554,38.915447,508,Oil and Gas Test,Electric Log,18,,-227,,-245,5,,,,,,
03330213000C,CRAWFORD,-87.82461,38.9188,501,Oil and Gas Test,Nuclear Log,78,2.5,-174,,-193,6,,,,,,
03330223000C,CRAWFORD,-87.72341,38.893734,560,Oil and Gas Test,Electric Log,104,,-173,,-192,,,,,,,
03330230000C,CRAWFORD,-87.726967,38.871674,569,Oil and Gas Test,Nuclear Log,60,3,-211,,-238,6,,,,,,
03330231000C,CRAWFORD,-87.803523,39.128858,564,Oil and Gas Test,Electric Log,13,,-225,,-238,6,,,,,,
03330262000C,CRAWFORD,-87.624101,38.912376,511,Oil and Gas Test,Electric Log,54,,-205,,,,,,,,,
03330290000C,CRAWFORD,-87.629349,39.002676,449,Oil and Gas Test,Nuclear Log,36,,-215,,,,,,,,,
03330389000C,CRAWFORD,-87.767029,39.064063,575,Oil and Gas Test,Nuclear Log,-20,2.5,-271,,-280,6.5,,,,,,
03330391000C,CRAWFORD,-87.761624,39.064073,573,Oil and Gas Test,Nuclear Log,-15,2.5,-257,,-266,7,,,,,,
03330405000C,CRAWFORD,-87.548864,38.893722,439,Oil and Gas Test,Nuclear Log,138,3,-137,,-169,4,,,,,,
03330410000C,CRAWFORD,-87.766443,39.06774,573,Oil and Gas Test,Nuclear Log,-1,3,-242,,-250,7,,,,,,
03330497000C,CRAWFORD,-87.807909,38.911722,449,Oil and Gas Test,Nuclear Log,90,2.5,-168,,-183,3,,,,,,
03330509000C,CRAWFORD,-87.822192,38.920936,486,Oil and Gas Test,Nuclear Log,74,3,-178,,-195,6,,,,,,
03330521000C,CRAWFORD,-87.857604,38.952089,456,Oil and Gas Test,Nuclear Log,18,3,-210,,-230,6,,,,,,
03330526000C,CRAWFORD,-87.852996,38.948454,480,Oil and Gas Test,Nuclear Log,32,2.5,-192,,-213,7,,,,,,
03330544000C,CRAWFORD,-87.713958,39.093626,504,Oil and Gas Test,Nuclear Log,-24,2.5,-276,,-299,5,,,,,,
03330928000C,CRAWFORD,-87.781949,39.06412,559,Oil and Gas Test,Nuclear Log,-16,3,-264,,-282,6.5,,,,,,
03333024000C,CRAWFORD,-87.736494,39.160625,515,Coal Test,Multiple log types,1.4,5.6,-240.4,1.5,-274.6,8.45,,,,,,
03333025000C,CRAWFORD,-87.712931,39.133652,505,Coal Test,Multiple log types,-39.1,3.9,-279.6,1,-304.8,7.2,,,,,,
